Prompt,Current_Hour,Start_Hour,Expected_Hours
"You check your phone, and see that the current time is 6:00AM. You realize that, since 6:00PM, the amount of hours that has passed is",6AM,6PM,12
"You check your phone, and see that the current time is 7:00AM. You realize that, since 6:00AM, the amount of hours that has passed is",7AM,6AM,1
"You check your phone, and see that the current time is 7:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",7AM,5AM,2
"You check your phone, and see that the current time is 7:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",7AM,4AM,3
"You check your phone, and see that the current time is 7:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",7AM,3AM,4
"You check your phone, and see that the current time is 7:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",7AM,2AM,5
"You check your phone, and see that the current time is 7:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",7AM,1AM,6
"You check your phone, and see that the current time is 7:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",7AM,12AM,7
"You check your phone, and see that the current time is 7:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",7AM,11PM,8
"You check your phone, and see that the current time is 7:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",7AM,10PM,9
"You check your phone, and see that the current time is 7:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",7AM,9PM,10
"You check your phone, and see that the current time is 7:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",7AM,8PM,11
"You check your phone, and see that the current time is 7:00AM. You realize that, since 7:00PM, the amount of hours that has passed is",7AM,7PM,12
"You check your phone, and see that the current time is 8:00AM. You realize that, since 7:00AM, the amount of hours that has passed is",8AM,7AM,1
"You check your phone, and see that the current time is 8:00AM. You realize that, since 6:00AM, the amount of hours that has passed is",8AM,6AM,2
"You check your phone, and see that the current time is 8:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",8AM,5AM,3
"You check your phone, and see that the current time is 8:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",8AM,4AM,4
"You check your phone, and see that the current time is 8:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",8AM,3AM,5
"You check your phone, and see that the current time is 8:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",8AM,2AM,6
"You check your phone, and see that the current time is 8:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",8AM,1AM,7
"You check your phone, and see that the current time is 8:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",8AM,12AM,8
"You check your phone, and see that the current time is 8:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",8AM,11PM,9
"You check your phone, and see that the current time is 8:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",8AM,10PM,10
"You check your phone, and see that the current time is 8:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",8AM,9PM,11
"You check your phone, and see that the current time is 8:00AM. You realize that, since 8:00PM, the amount of hours that has passed is",8AM,8PM,12
"You check your phone, and see that the current time is 9:00AM. You realize that, since 8:00AM, the amount of hours that has passed is",9AM,8AM,1
"You check your phone, and see that the current time is 9:00AM. You realize that, since 7:00AM, the amount of hours that has passed is",9AM,7AM,2
"You check your phone, and see that the current time is 9:00AM. You realize that, since 6:00AM, the amount of hours that has passed is",9AM,6AM,3
"You check your phone, and see that the current time is 9:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",9AM,5AM,4
"You check your phone, and see that the current time is 9:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",9AM,4AM,5
"You check your phone, and see that the current time is 9:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",9AM,3AM,6
"You check your phone, and see that the current time is 9:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",9AM,2AM,7
"You check your phone, and see that the current time is 9:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",9AM,1AM,8
"You check your phone, and see that the current time is 9:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",9AM,12AM,9
"You check your phone, and see that the current time is 9:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",9AM,11PM,10
"You check your phone, and see that the current time is 9:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",9AM,10PM,11
"You check your phone, and see that the current time is 9:00AM. You realize that, since 9:00PM, the amount of hours that has passed is",9AM,9PM,12
"You check your phone, and see that the current time is 10:00AM. You realize that, since 9:00AM, the amount of hours that has passed is",10AM,9AM,1
"You check your phone, and see that the current time is 10:00AM. You realize that, since 8:00AM, the amount of hours that has passed is",10AM,8AM,2
"You check your phone, and see that the current time is 10:00AM. You realize that, since 7:00AM, the amount of hours that has passed is",10AM,7AM,3
"You check your phone, and see that the current time is 10:00AM. You realize that, since 6:00AM, the amount of hours that has passed is",10AM,6AM,4
"You check your phone, and see that the current time is 10:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",10AM,5AM,5
"You check your phone, and see that the current time is 10:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",10AM,4AM,6
"You check your phone, and see that the current time is 10:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",10AM,3AM,7
"You check your phone, and see that the current time is 10:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",10AM,2AM,8
"You check your phone, and see that the current time is 10:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",10AM,1AM,9
"You check your phone, and see that the current time is 10:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",10AM,12AM,10
"You check your phone, and see that the current time is 10:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",10AM,11PM,11
"You check your phone, and see that the current time is 10:00AM. You realize that, since 10:00PM, the amount of hours that has passed is",10AM,10PM,12
"You check your phone, and see that the current time is 11:00AM. You realize that, since 10:00AM, the amount of hours that has passed is",11AM,10AM,1
"You check your phone, and see that the current time is 11:00AM. You realize that, since 9:00AM, the amount of hours that has passed is",11AM,9AM,2
"You check your phone, and see that the current time is 11:00AM. You realize that, since 8:00AM, the amount of hours that has passed is",11AM,8AM,3
"You check your phone, and see that the current time is 11:00AM. You realize that, since 7:00AM, the amount of hours that has passed is",11AM,7AM,4
"You check your phone, and see that the current time is 11:00AM. You realize that, since 6:00AM, the amount of hours that has passed is",11AM,6AM,5
"You check your phone, and see that the current time is 11:00AM. You realize that, since 5:00AM, the amount of hours that has passed is",11AM,5AM,6
"You check your phone, and see that the current time is 11:00AM. You realize that, since 4:00AM, the amount of hours that has passed is",11AM,4AM,7
"You check your phone, and see that the current time is 11:00AM. You realize that, since 3:00AM, the amount of hours that has passed is",11AM,3AM,8
"You check your phone, and see that the current time is 11:00AM. You realize that, since 2:00AM, the amount of hours that has passed is",11AM,2AM,9
"You check your phone, and see that the current time is 11:00AM. You realize that, since 1:00AM, the amount of hours that has passed is",11AM,1AM,10
"You check your phone, and see that the current time is 11:00AM. You realize that, since 12:00AM, the amount of hours that has passed is",11AM,12AM,11
"You check your phone, and see that the current time is 11:00AM. You realize that, since 11:00PM, the amount of hours that has passed is",11AM,11PM,12
"You check your phone, and see that the current time is 12:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",12PM,11AM,1
"You check your phone, and see that the current time is 12:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",12PM,10AM,2
"You check your phone, and see that the current time is 12:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",12PM,9AM,3
"You check your phone, and see that the current time is 12:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",12PM,8AM,4
"You check your phone, and see that the current time is 12:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",12PM,7AM,5
"You check your phone, and see that the current time is 12:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",12PM,6AM,6
"You check your phone, and see that the current time is 12:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",12PM,5AM,7
"You check your phone, and see that the current time is 12:00PM. You realize that, since 4:00AM, the amount of hours that has passed is",12PM,4AM,8
"You check your phone, and see that the current time is 12:00PM. You realize that, since 3:00AM, the amount of hours that has passed is",12PM,3AM,9
"You check your phone, and see that the current time is 12:00PM. You realize that, since 2:00AM, the amount of hours that has passed is",12PM,2AM,10
"You check your phone, and see that the current time is 12:00PM. You realize that, since 1:00AM, the amount of hours that has passed is",12PM,1AM,11
"You check your phone, and see that the current time is 12:00PM. You realize that, since 12:00AM, the amount of hours that has passed is",12PM,12AM,12
"You check your phone, and see that the current time is 1:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",1PM,12PM,1
"You check your phone, and see that the current time is 1:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",1PM,11AM,2
"You check your phone, and see that the current time is 1:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",1PM,10AM,3
"You check your phone, and see that the current time is 1:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",1PM,9AM,4
"You check your phone, and see that the current time is 1:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",1PM,8AM,5
"You check your phone, and see that the current time is 1:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",1PM,7AM,6
"You check your phone, and see that the current time is 1:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",1PM,6AM,7
"You check your phone, and see that the current time is 1:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",1PM,5AM,8
"You check your phone, and see that the current time is 1:00PM. You realize that, since 4:00AM, the amount of hours that has passed is",1PM,4AM,9
"You check your phone, and see that the current time is 1:00PM. You realize that, since 3:00AM, the amount of hours that has passed is",1PM,3AM,10
"You check your phone, and see that the current time is 1:00PM. You realize that, since 2:00AM, the amount of hours that has passed is",1PM,2AM,11
"You check your phone, and see that the current time is 1:00PM. You realize that, since 1:00AM, the amount of hours that has passed is",1PM,1AM,12
"You check your phone, and see that the current time is 2:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",2PM,1PM,1
"You check your phone, and see that the current time is 2:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",2PM,12PM,2
"You check your phone, and see that the current time is 2:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",2PM,11AM,3
"You check your phone, and see that the current time is 2:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",2PM,10AM,4
"You check your phone, and see that the current time is 2:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",2PM,9AM,5
"You check your phone, and see that the current time is 2:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",2PM,8AM,6
"You check your phone, and see that the current time is 2:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",2PM,7AM,7
"You check your phone, and see that the current time is 2:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",2PM,6AM,8
"You check your phone, and see that the current time is 2:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",2PM,5AM,9
"You check your phone, and see that the current time is 2:00PM. You realize that, since 4:00AM, the amount of hours that has passed is",2PM,4AM,10
"You check your phone, and see that the current time is 2:00PM. You realize that, since 3:00AM, the amount of hours that has passed is",2PM,3AM,11
"You check your phone, and see that the current time is 2:00PM. You realize that, since 2:00AM, the amount of hours that has passed is",2PM,2AM,12
"You check your phone, and see that the current time is 3:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",3PM,2PM,1
"You check your phone, and see that the current time is 3:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",3PM,1PM,2
"You check your phone, and see that the current time is 3:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",3PM,12PM,3
"You check your phone, and see that the current time is 3:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",3PM,11AM,4
"You check your phone, and see that the current time is 3:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",3PM,10AM,5
"You check your phone, and see that the current time is 3:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",3PM,9AM,6
"You check your phone, and see that the current time is 3:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",3PM,8AM,7
"You check your phone, and see that the current time is 3:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",3PM,7AM,8
"You check your phone, and see that the current time is 3:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",3PM,6AM,9
"You check your phone, and see that the current time is 3:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",3PM,5AM,10
"You check your phone, and see that the current time is 3:00PM. You realize that, since 4:00AM, the amount of hours that has passed is",3PM,4AM,11
"You check your phone, and see that the current time is 3:00PM. You realize that, since 3:00AM, the amount of hours that has passed is",3PM,3AM,12
"You check your phone, and see that the current time is 4:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",4PM,3PM,1
"You check your phone, and see that the current time is 4:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",4PM,2PM,2
"You check your phone, and see that the current time is 4:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",4PM,1PM,3
"You check your phone, and see that the current time is 4:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",4PM,12PM,4
"You check your phone, and see that the current time is 4:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",4PM,11AM,5
"You check your phone, and see that the current time is 4:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",4PM,10AM,6
"You check your phone, and see that the current time is 4:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",4PM,9AM,7
"You check your phone, and see that the current time is 4:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",4PM,8AM,8
"You check your phone, and see that the current time is 4:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",4PM,7AM,9
"You check your phone, and see that the current time is 4:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",4PM,6AM,10
"You check your phone, and see that the current time is 4:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",4PM,5AM,11
"You check your phone, and see that the current time is 4:00PM. You realize that, since 4:00AM, the amount of hours that has passed is",4PM,4AM,12
"You check your phone, and see that the current time is 5:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",5PM,4PM,1
"You check your phone, and see that the current time is 5:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",5PM,3PM,2
"You check your phone, and see that the current time is 5:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",5PM,2PM,3
"You check your phone, and see that the current time is 5:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",5PM,1PM,4
"You check your phone, and see that the current time is 5:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",5PM,12PM,5
"You check your phone, and see that the current time is 5:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",5PM,11AM,6
"You check your phone, and see that the current time is 5:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",5PM,10AM,7
"You check your phone, and see that the current time is 5:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",5PM,9AM,8
"You check your phone, and see that the current time is 5:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",5PM,8AM,9
"You check your phone, and see that the current time is 5:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",5PM,7AM,10
"You check your phone, and see that the current time is 5:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",5PM,6AM,11
"You check your phone, and see that the current time is 5:00PM. You realize that, since 5:00AM, the amount of hours that has passed is",5PM,5AM,12
"You check your phone, and see that the current time is 6:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",6PM,5PM,1
"You check your phone, and see that the current time is 6:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",6PM,4PM,2
"You check your phone, and see that the current time is 6:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",6PM,3PM,3
"You check your phone, and see that the current time is 6:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",6PM,2PM,4
"You check your phone, and see that the current time is 6:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",6PM,1PM,5
"You check your phone, and see that the current time is 6:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",6PM,12PM,6
"You check your phone, and see that the current time is 6:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",6PM,11AM,7
"You check your phone, and see that the current time is 6:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",6PM,10AM,8
"You check your phone, and see that the current time is 6:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",6PM,9AM,9
"You check your phone, and see that the current time is 6:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",6PM,8AM,10
"You check your phone, and see that the current time is 6:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",6PM,7AM,11
"You check your phone, and see that the current time is 6:00PM. You realize that, since 6:00AM, the amount of hours that has passed is",6PM,6AM,12
"You check your phone, and see that the current time is 7:00PM. You realize that, since 6:00PM, the amount of hours that has passed is",7PM,6PM,1
"You check your phone, and see that the current time is 7:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",7PM,5PM,2
"You check your phone, and see that the current time is 7:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",7PM,4PM,3
"You check your phone, and see that the current time is 7:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",7PM,3PM,4
"You check your phone, and see that the current time is 7:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",7PM,2PM,5
"You check your phone, and see that the current time is 7:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",7PM,1PM,6
"You check your phone, and see that the current time is 7:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",7PM,12PM,7
"You check your phone, and see that the current time is 7:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",7PM,11AM,8
"You check your phone, and see that the current time is 7:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",7PM,10AM,9
"You check your phone, and see that the current time is 7:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",7PM,9AM,10
"You check your phone, and see that the current time is 7:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",7PM,8AM,11
"You check your phone, and see that the current time is 7:00PM. You realize that, since 7:00AM, the amount of hours that has passed is",7PM,7AM,12
"You check your phone, and see that the current time is 8:00PM. You realize that, since 7:00PM, the amount of hours that has passed is",8PM,7PM,1
"You check your phone, and see that the current time is 8:00PM. You realize that, since 6:00PM, the amount of hours that has passed is",8PM,6PM,2
"You check your phone, and see that the current time is 8:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",8PM,5PM,3
"You check your phone, and see that the current time is 8:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",8PM,4PM,4
"You check your phone, and see that the current time is 8:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",8PM,3PM,5
"You check your phone, and see that the current time is 8:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",8PM,2PM,6
"You check your phone, and see that the current time is 8:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",8PM,1PM,7
"You check your phone, and see that the current time is 8:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",8PM,12PM,8
"You check your phone, and see that the current time is 8:00PM. You realize that, since 11:00AM, the amount of hours that has passed is",8PM,11AM,9
"You check your phone, and see that the current time is 8:00PM. You realize that, since 10:00AM, the amount of hours that has passed is",8PM,10AM,10
"You check your phone, and see that the current time is 8:00PM. You realize that, since 9:00AM, the amount of hours that has passed is",8PM,9AM,11
"You check your phone, and see that the current time is 8:00PM. You realize that, since 8:00AM, the amount of hours that has passed is",8PM,8AM,12
"You check your phone, and see that the current time is 9:00PM. You realize that, since 8:00PM, the amount of hours that has passed is",9PM,8PM,1
"You check your phone, and see that the current time is 9:00PM. You realize that, since 7:00PM, the amount of hours that has passed is",9PM,7PM,2
"You check your phone, and see that the current time is 9:00PM. You realize that, since 6:00PM, the amount of hours that has passed is",9PM,6PM,3
"You check your phone, and see that the current time is 9:00PM. You realize that, since 5:00PM, the amount of hours that has passed is",9PM,5PM,4
"You check your phone, and see that the current time is 9:00PM. You realize that, since 4:00PM, the amount of hours that has passed is",9PM,4PM,5
"You check your phone, and see that the current time is 9:00PM. You realize that, since 3:00PM, the amount of hours that has passed is",9PM,3PM,6
"You check your phone, and see that the current time is 9:00PM. You realize that, since 2:00PM, the amount of hours that has passed is",9PM,2PM,7
"You check your phone, and see that the current time is 9:00PM. You realize that, since 1:00PM, the amount of hours that has passed is",9PM,1PM,8
"You check your phone, and see that the current time is 9:00PM. You realize that, since 12:00PM, the amount of hours that has passed is",9PM,12PM,9
