task,src_hour,tgt_hour,start_hour,expected_hours,steered_expected_hours,prompt,baseline_pred,steered_pred,baseline_correct,steered_correct
current_time,1AM,9PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,10PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Alex asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,11PM,,,,"You glance at the clock and find it is 1:00AM. Your friend Sam asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,1AM,12AM,,,,"You glance at the clock and find it is 1:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",1AM,1AM,True,False
current_time,2AM,1AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,3AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,4AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Alex asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,5AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Sam asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,6AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,7AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,8AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,9AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Alex asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,10AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Sam asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,11AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,12PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,1PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,2PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Alex asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,3PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Sam asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,4PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,5PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,6PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,7PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Alex asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,8PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Sam asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,9PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,10PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,11PM,,,,"You glance at the clock and find it is 2:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,2AM,12AM,,,,"You glance at the clock and find it is 2:00AM. Your friend Alex asks you for the time, and you respond, saying it is",2AM,2AM,True,False
current_time,3AM,1AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Sam asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,2AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,4AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,5AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,6AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Alex asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,7AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Sam asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,8AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,9AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,10AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,11AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Alex asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,12PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Sam asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,1PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,2PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,3PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,4PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Alex asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,5PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Sam asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,6PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,7PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,8PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,9PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Alex asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,10PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Sam asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,11PM,,,,"You glance at the clock and find it is 3:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,3AM,12AM,,,,"You glance at the clock and find it is 3:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",3AM,3AM,True,False
current_time,4AM,1AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,2AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Alex asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,3AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Sam asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,5AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,6AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,7AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,8AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Alex asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,9AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Sam asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,10AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,11AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,12PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,1PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Alex asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,2PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Sam asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,3PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,4PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,5PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,6PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Alex asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,7PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Sam asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,8PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,9PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,10PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,11PM,,,,"You glance at the clock and find it is 4:00AM. Your friend Alex asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,4AM,12AM,,,,"You glance at the clock and find it is 4:00AM. Your friend Sam asks you for the time, and you respond, saying it is",4AM,4AM,True,False
current_time,5AM,1AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,2AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,3AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,4AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Alex asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,6AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Sam asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,7AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,8AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,9AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,10AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Alex asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,11AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Sam asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,12PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,1PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,2PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,3PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Alex asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,4PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Sam asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,5PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,6PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,7PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,8PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Alex asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,9PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Sam asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,10PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,11PM,,,,"You glance at the clock and find it is 5:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,5AM,12AM,,,,"You glance at the clock and find it is 5:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",5AM,5AM,True,False
current_time,6AM,1AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Alex asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,2AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Sam asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,3AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,4AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,5AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,7AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Alex asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,8AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Sam asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,9AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,10AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,11AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,12PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Alex asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,1PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Sam asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,2PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,3PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,4PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,5PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Alex asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,6PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Sam asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,7PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,8PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,9PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,10PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Alex asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,11PM,,,,"You glance at the clock and find it is 6:00AM. Your friend Sam asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,6AM,12AM,,,,"You glance at the clock and find it is 6:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",6AM,6AM,True,False
current_time,7AM,1AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,2AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,3AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Alex asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,4AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Sam asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,5AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,6AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,8AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,9AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Alex asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,10AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Sam asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,11AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,12PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,1PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,2PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Alex asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,3PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Sam asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,4PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,5PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,6PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,7PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Alex asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,8PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Sam asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,9PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,10PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,11PM,,,,"You glance at the clock and find it is 7:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,7AM,12AM,,,,"You glance at the clock and find it is 7:00AM. Your friend Alex asks you for the time, and you respond, saying it is",7AM,7AM,True,False
current_time,8AM,1AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Sam asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,2AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,3AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,4AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,5AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Alex asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,6AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Sam asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,7AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,9AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,10AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,11AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Alex asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,12PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Sam asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,1PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,2PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,3PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,4PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Alex asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,5PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Sam asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,6PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,7PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,8PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,9PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Alex asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,10PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Sam asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,11PM,,,,"You glance at the clock and find it is 8:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,8AM,12AM,,,,"You glance at the clock and find it is 8:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",8AM,8AM,True,False
current_time,9AM,1AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,2AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Alex asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,3AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Sam asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,4AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,5AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,6AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,7AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Alex asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,8AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Sam asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,10AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Jordan asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,11AM,,,,"You glance at the clock and find it is 9:00AM. Your friend Taylor asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,12PM,,,,"You glance at the clock and find it is 9:00AM. Your friend Morgan asks you for the time, and you respond, saying it is",9AM,9AM,True,False
current_time,9AM,1PM,,,,"You glance at the clock and find it is 9:00AM. Your friend Alex asks you for the time, and you respond, saying it is",9AM,9AM,True,False
