Sentence,Label,target_hue_sin,target_hue_cos,target_r,target_g,target_b,target_color_cat
Fatima wrapped the light-sensitive sample in foil that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
the coordinator marked the control wells with ink that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
Charlie wrapped the light-sensitive sample in foil that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Amara wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Chen wrapped the light-sensitive sample in foil that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Dr. Smith distinguished the treatment group using tags that were yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Rossi sorted the slides by condition into trays that were orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
"In the acidic solution, the litmus paper turned green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Charlie noted the precipitate had a faint tint of violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the supervisor wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the intern distinguished the treatment group using tags that were green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the PI described the crystalline precipitate as green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
"At its center, Fatima noted the fungal colony was yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Prof. Kim selected the filter for the fluorescence measurement that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Liam labeled the sample vial with tape coded green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Prof. Wang wrapped the light-sensitive sample in foil that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Elena sorted the slides by condition into trays that were yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
"At its center, the supervisor noted the fungal colony was yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the nurse marked the control wells with ink that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the technician marked the control wells with ink that was green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Elena selected the filter for the fluorescence measurement that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
James distinguished the treatment group using tags that were green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Prof. Wang wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
"In the acidic solution, the litmus paper turned orange",01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Charlie sorted the slides by condition into trays that were pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Dr. Smith sorted the slides by condition into trays that were pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Omar sorted the slides by condition into trays that were red,00_red,0.0,1.0,1.0,0.0,0.0,0
the intern noted the precipitate had a faint tint of orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Charlie sorted the slides by condition into trays that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Prof. Kim distinguished the treatment group using tags that were orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
The signal trace on the oscilloscope was displayed in red,00_red,0.0,1.0,1.0,0.0,0.0,0
Maria labeled the sample vial with tape coded violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Omar selected the filter for the fluorescence measurement that was green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Maria sorted the slides by condition into trays that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Omar highlighted the chart outliers in yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Okafor marked the control wells with ink that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Prof. Kim highlighted the chart outliers in red,00_red,0.0,1.0,1.0,0.0,0.0,0
the supervisor highlighted the chart outliers in violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"At its center, Kevin noted the fungal colony was green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the technician noted the precipitate had a faint tint of violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Maria noted the precipitate had a faint tint of violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the PI labeled the sample vial with tape coded yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Liam highlighted the chart outliers in red,00_red,0.0,1.0,1.0,0.0,0.0,0
"At its center, Alice noted the fungal colony was blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, the PI noted the fungal colony was indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Yuki described the crystalline precipitate as red,00_red,0.0,1.0,1.0,0.0,0.0,0
"At its center, Sarah noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
The reagent bottle cap is color-coded indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Sarah selected the filter for the fluorescence measurement that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
The reagent bottle cap is color-coded pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Dr. Rossi sorted the slides by condition into trays that were green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
"Near the heat source, the thermal imaging regions were yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Chen highlighted the chart outliers in indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Dr. Rossi highlighted the chart outliers in blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"Against the membrane, the western blot band appeared blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Omar labeled the sample vial with tape coded indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Elena described the crystalline precipitate as red,00_red,0.0,1.0,1.0,0.0,0.0,0
The coating on the electrode is indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
"At its center, Liam noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Prof. Kim wrapped the light-sensitive sample in foil that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Prof. Müller distinguished the treatment group using tags that were green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
The safety manual requires biohazard container markings to be green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Kevin distinguished the treatment group using tags that were pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Maria wrapped the light-sensitive sample in foil that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Kevin wrapped the light-sensitive sample in foil that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the postdoc selected the filter for the fluorescence measurement that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the intern labeled the sample vial with tape coded violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Fatima described the crystalline precipitate as blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Fatima labeled the sample vial with tape coded red,00_red,0.0,1.0,1.0,0.0,0.0,0
Dye uptake rendered the cell membrane green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the coordinator sorted the slides by condition into trays that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Kevin described the crystalline precipitate as orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Prof. Kim wrapped the light-sensitive sample in foil that was indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Charlie noted the precipitate had a faint tint of indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Dr. Patel sorted the slides by condition into trays that were blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Kevin distinguished the treatment group using tags that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the supervisor selected the filter for the fluorescence measurement that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Omar noted the precipitate had a faint tint of indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
the analyst highlighted the chart outliers in blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"After incubation, the culture medium appeared green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the analyst marked the control wells with ink that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
The LED indicator on the freezer is blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
the coordinator highlighted the chart outliers in green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the supervisor marked the control wells with ink that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
the intern highlighted the chart outliers in yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
"When the reaction completed, the indicator solution turned blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Dr. Rossi sorted the slides by condition into trays that were blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
the technician marked the control wells with ink that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Sarah noted the precipitate had a faint tint of red,00_red,0.0,1.0,1.0,0.0,0.0,0
James wrapped the light-sensitive sample in foil that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Kevin wrapped the light-sensitive sample in foil that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, Maria noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
The safety manual requires biohazard container markings to be pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
"After incubation, the culture medium appeared indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Charlie sorted the slides by condition into trays that were red,00_red,0.0,1.0,1.0,0.0,0.0,0
Dr. Chen sorted the slides by condition into trays that were blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"In the acidic solution, the litmus paper turned yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Sarah sorted the slides by condition into trays that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"At its center, Elena noted the fungal colony was orange",01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Liam wrapped the light-sensitive sample in foil that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"Near the heat source, the thermal imaging regions were blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
The warning light on the centrifuge turned yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
"Against the membrane, the western blot band appeared indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Liam labeled the sample vial with tape coded orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Fatima described the crystalline precipitate as violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Yuki labeled the sample vial with tape coded pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
"At its center, Charlie noted the fungal colony was yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
James labeled the sample vial with tape coded green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the postdoc highlighted the chart outliers in violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the postdoc marked the control wells with ink that was violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Sarah marked the control wells with ink that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
Fatima noted the precipitate had a faint tint of blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Omar sorted the slides by condition into trays that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the nurse sorted the slides by condition into trays that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Alice highlighted the chart outliers in violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
the nurse distinguished the treatment group using tags that were orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
James wrapped the light-sensitive sample in foil that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the analyst selected the filter for the fluorescence measurement that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
James sorted the slides by condition into trays that were pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the PI wrapped the light-sensitive sample in foil that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Dr. Chen sorted the slides by condition into trays that were red,00_red,0.0,1.0,1.0,0.0,0.0,0
The reference standard is packaged in a box that is red,00_red,0.0,1.0,1.0,0.0,0.0,0
the analyst selected the filter for the fluorescence measurement that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Elena labeled the sample vial with tape coded indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Elena selected the filter for the fluorescence measurement that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
The coating on the electrode is violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"Near the heat source, the thermal imaging regions were orange",01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
"At its center, Raj noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Dr. Rossi labeled the sample vial with tape coded red,00_red,0.0,1.0,1.0,0.0,0.0,0
"Near the heat source, the thermal imaging regions were red",00_red,0.0,1.0,1.0,0.0,0.0,0
"At its center, the coordinator noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Elena labeled the sample vial with tape coded orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the postdoc described the crystalline precipitate as yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Raj highlighted the chart outliers in yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the intern highlighted the chart outliers in green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the supervisor highlighted the chart outliers in red,00_red,0.0,1.0,1.0,0.0,0.0,0
"Against the membrane, the western blot band appeared red",00_red,0.0,1.0,1.0,0.0,0.0,0
Prof. Müller noted the precipitate had a faint tint of red,00_red,0.0,1.0,1.0,0.0,0.0,0
the intern highlighted the chart outliers in red,00_red,0.0,1.0,1.0,0.0,0.0,0
Dr. Smith selected the filter for the fluorescence measurement that was green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
"After incubation, the culture medium appeared blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Yuki described the crystalline precipitate as indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Fatima highlighted the chart outliers in blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Dr. Rossi highlighted the chart outliers in violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Under UV light the compound fluoresced red,00_red,0.0,1.0,1.0,0.0,0.0,0
The chromatography band migrated as a stripe that appeared yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
"At its center, the nurse noted the fungal colony was violet",06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Bob sorted the slides by condition into trays that were blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Amara selected the filter for the fluorescence measurement that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, James noted the fungal colony was green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the supervisor marked the control wells with ink that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
Prof. Wang selected the filter for the fluorescence measurement that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
the supervisor labeled the sample vial with tape coded red,00_red,0.0,1.0,1.0,0.0,0.0,0
Raj highlighted the chart outliers in green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Prof. Kim wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Smith marked the control wells with ink that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
the coordinator described the crystalline precipitate as blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Dr. Smith wrapped the light-sensitive sample in foil that was green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
the postdoc wrapped the light-sensitive sample in foil that was blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Yuki highlighted the chart outliers in blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"After incubation, the culture medium appeared yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the PI noted the precipitate had a faint tint of yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Prof. Müller sorted the slides by condition into trays that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
James marked the control wells with ink that was pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
"At its center, the analyst noted the fungal colony was red",00_red,0.0,1.0,1.0,0.0,0.0,0
The reagent bottle cap is color-coded green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Maria highlighted the chart outliers in orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
The warning light on the centrifuge turned indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Sarah selected the filter for the fluorescence measurement that was indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Dr. Rossi selected the filter for the fluorescence measurement that was red,00_red,0.0,1.0,1.0,0.0,0.0,0
"At its center, Prof. Müller noted the fungal colony was red",00_red,0.0,1.0,1.0,0.0,0.0,0
"At the measured reading, the pH strip changed to green",03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Omar distinguished the treatment group using tags that were violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
The calibration bead suspension is pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Omar distinguished the treatment group using tags that were yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the coordinator described the crystalline precipitate as orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the intern wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
the PI labeled the sample vial with tape coded violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
"At its center, Dr. Smith noted the fungal colony was red",00_red,0.0,1.0,1.0,0.0,0.0,0
"At its center, Dr. Okafor noted the fungal colony was pink",07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Sarah described the crystalline precipitate as violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Maria noted the precipitate had a faint tint of indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Yuki marked the control wells with ink that was indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Dr. Patel labeled the sample vial with tape coded green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
"In the acidic solution, the litmus paper turned blue",04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Dr. Patel selected the filter for the fluorescence measurement that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Kevin noted the precipitate had a faint tint of violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
Fatima noted the precipitate had a faint tint of green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Prof. Wang described the crystalline precipitate as red,00_red,0.0,1.0,1.0,0.0,0.0,0
The chromatography band migrated as a stripe that appeared pink,07_pink,-0.2588190451025207,0.9659258262890683,1.0,0.75,0.8,0
Prof. Kim selected the filter for the fluorescence measurement that was orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
"When the reaction completed, the indicator solution turned orange",01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the postdoc distinguished the treatment group using tags that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Prof. Kim distinguished the treatment group using tags that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
the nurse described the crystalline precipitate as blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
Yuki wrapped the light-sensitive sample in foil that was yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Dr. Patel described the crystalline precipitate as indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
"At the measured reading, the pH strip changed to indigo",05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Prof. Wang highlighted the chart outliers in orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
Prof. Kim described the crystalline precipitate as indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
Dr. Patel distinguished the treatment group using tags that were blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
"At its center, the analyst noted the fungal colony was yellow",02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Raj distinguished the treatment group using tags that were indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
The chromatography band migrated as a stripe that appeared green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Alice labeled the sample vial with tape coded blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
The coating on the electrode is yellow,02_yellow,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,1
Kevin sorted the slides by condition into trays that were orange,01_orange,0.49999999999999994,0.8660254037844387,1.0,0.65,0.0,0
the postdoc described the crystalline precipitate as violet,06_violet,-0.9848077530122081,0.17364817766692997,0.56,0.0,1.0,2
The reference standard is packaged in a box that is green,03_green,0.8660254037844387,-0.4999999999999998,0.0,0.5,0.0,1
Charlie highlighted the chart outliers in blue,04_blue,-0.8660254037844384,-0.5000000000000004,0.0,0.0,1.0,2
The LED indicator on the freezer is indigo,05_indigo,-0.984807753012208,-0.17364817766693033,0.29,0.0,0.51,2
