Sentence,Label,target_day,target_sin_7d,target_cos_7d,target_is_weekend,target_is_weekday
Prof. Kim is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the PI noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Alice noted a discrepancy in the logs from Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Charlie is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Yuki is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
James is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Dr. Rossi is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Elena will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Alice noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Bob noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Rossi noted a discrepancy in the logs from Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the nurse is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Prof. Müller noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Data backup must be completed every Monday,00_Monday,0,0.0,1.0,0,1
Yuki scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Prof. Wang is presenting the literature review on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Dr. Patel is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
James is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Omar is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
the nurse will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Yuki will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Chen is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Yuki scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the PI scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Raj noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
The shipment of reagents is scheduled for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Sarah scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Bob scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Charlie scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Bob scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Prof. Wang is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Amara is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Elena is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Patel noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the intern noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Please verify the freezer temperature logs for Monday,00_Monday,0,0.0,1.0,0,1
Dr. Okafor is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the technician scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Liam scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Prof. Müller is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
the nurse scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the supervisor is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Alice is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
The chemical waste pickup is every Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Data backup must be completed every Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Please verify the freezer temperature logs for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Are we still on track for the launch this Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the nurse is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the analyst is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the nurse is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Omar noted a discrepancy in the logs from Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Raj noted a discrepancy in the logs from Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Is the centrifuge maintenance occurring on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the intern scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Is the centrifuge maintenance occurring on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
We will start the sequencing run on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Kevin noted a discrepancy in the logs from Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Dr. Rossi is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the postdoc scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the analyst is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Müller will finalize the PCR results on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Patel is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Rossi is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Smith will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Smith is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
The chemical waste pickup is every Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Prof. Wang will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Data backup must be completed every Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the postdoc is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Prof. Kim scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Prof. Kim will finalize the PCR results on Monday,00_Monday,0,0.0,1.0,0,1
Are we still on track for the launch this Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Wang will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the intern is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Elena is responsible for the morning rounds on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
The lab will be closed for the holiday on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Yuki will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Bob is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Prof. Müller will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Raj scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Submit the grant proposal before Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Okafor is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Charlie noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Prof. Kim will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the supervisor scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Smith is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Bob will finalize the PCR results on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the technician scheduled the MRI scan for Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Elena scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
James scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the supervisor is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Charlie is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Elena scheduled the MRI scan for Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Kevin noted a discrepancy in the logs from Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the intern is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Check the titration levels again on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Okafor noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Dr. Rossi will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Maria noted a discrepancy in the logs from Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
The lab will be closed for the holiday on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Müller noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
James will finalize the PCR results on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Kim scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Patel scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Patel is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
The clinical trial phase begins this Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Dr. Smith will finalize the PCR results on Monday,00_Monday,0,0.0,1.0,0,1
Omar is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Dr. Okafor is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Bob is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Kevin is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Raj is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the postdoc is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
We will start the sequencing run on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
James is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the supervisor is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the coordinator noted a discrepancy in the logs from Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Fatima will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Amara is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Yuki is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Our collaborator is visiting the facility on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Wang is presenting the literature review on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Omar will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Raj is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Omar is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
the nurse noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Elena noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the coordinator scheduled the MRI scan for Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
the analyst will finalize the PCR results on Monday,00_Monday,0,0.0,1.0,0,1
the postdoc noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Bob is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Fatima scheduled the MRI scan for Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the PI scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
the nurse is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Kevin is responsible for the morning rounds on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Prof. Wang noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Dr. Okafor noted a discrepancy in the logs from Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Prof. Müller scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the postdoc will finalize the PCR results on Monday,00_Monday,0,0.0,1.0,0,1
James is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Patel noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Okafor scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
The department seminar is hosted on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the postdoc scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Are we still on track for the launch this Monday,00_Monday,0,0.0,1.0,0,1
Maria is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Re-calibrate the mass spectrometer on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Prof. Müller is responsible for the morning rounds on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the technician is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the supervisor is presenting the literature review on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Bob is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the PI noted a discrepancy in the logs from Monday,00_Monday,0,0.0,1.0,0,1
Sarah is presenting the literature review on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Rossi is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Sarah noted a discrepancy in the logs from Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Prof. Müller will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Omar will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Omar scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Fatima is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Submit the grant proposal before Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
The department seminar is hosted on Monday,00_Monday,0,0.0,1.0,0,1
the intern is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
The statistical analysis will be performed on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Kevin is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Dr. Chen is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
The longitudinal study concludes on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Raj scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Chen noted a discrepancy in the logs from Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Liam is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
James scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Maria scheduled the MRI scan for Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Bob is responsible for the morning rounds on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the intern scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Dr. Chen is responsible for the morning rounds on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
the postdoc scheduled the MRI scan for Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Data backup must be completed every Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Amara is presenting the literature review on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the technician is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
The autoclave is out of service until Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
the analyst is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Patel is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Is the centrifuge maintenance occurring on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Chen is presenting the literature review on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Kevin scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
the nurse will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Liam is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Amara noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Amara is responsible for the morning rounds on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Fatima scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
The clinical trial phase begins this Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Bob is presenting the literature review on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Yuki is presenting the literature review on Monday,00_Monday,0,0.0,1.0,0,1
Amara will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
The statistical analysis will be performed on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
Dr. Smith noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Alice scheduled the MRI scan for Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the PI is presenting the literature review on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Charlie scheduled the MRI scan for Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Dr. Patel is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
the PI noted a discrepancy in the logs from Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Amara noted a discrepancy in the logs from Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Alice will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
the supervisor scheduled the MRI scan for Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Prof. Kim is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Raj is responsible for the morning rounds on Saturday,05_Saturday,5,-0.9749279121818236,-0.2225209339563146,1,0
Kevin will finalize the PCR results on Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
The clinical trial phase begins this Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Raj is presenting the literature review on Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Yuki is responsible for the morning rounds on Sunday,06_Sunday,6,-0.7818314824680299,0.6234898018587334,1,0
Raj will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the PI scheduled the MRI scan for Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Dr. Okafor noted a discrepancy in the logs from Tuesday,01_Tuesday,1,0.7818314824680298,0.6234898018587336,0,1
Sarah will finalize the PCR results on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Prof. Wang will finalize the PCR results on Friday,04_Friday,4,-0.433883739117558,-0.9009688679024191,0,1
the coordinator noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
Dr. Rossi noted a discrepancy in the logs from Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
The autoclave is out of service until Wednesday,02_Wednesday,2,0.9749279121818236,-0.22252093395631434,0,1
the nurse is responsible for the morning rounds on Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
James is responsible for the morning rounds on Monday,00_Monday,0,0.0,1.0,0,1
Prof. Müller noted a discrepancy in the logs from Thursday,03_Thursday,3,0.43388373911755823,-0.900968867902419,0,1
Raj scheduled the MRI scan for Monday,00_Monday,0,0.0,1.0,0,1
